note_name,start_time,duration,velocity
C#6,0,103,87
A#5,124,74,54
C6,205,124,89
C#6,392,0,97
D6,530,110,95
D#6,714,561,99
C6,1285,78,110
D#6,1366,99,108
C6,1482,49,109
A#5,1541,95,99
G#5,1650,78,108
F5,1745,81,111
G#5,1847,447,106
F5,2304,124,121
G#5,2442,309,108
G#5,3201,90,114
F5,3296,75,116
G#5,3371,65,112
F5,3436,70,116
C#5,3511,80,125
G#5,3601,96,119
F5,3702,55,117
G#5,3757,40,113
F5,3797,90,118
C#5,3887,90,127
G#5,3987,0,114
F5,4067,60,113
G#5,4142,35,111
F5,4177,65,116
C#5,4262,85,126
G#5,4352,65,116
F5,4427,40,113
G#5,4482,0,108
F5,4537,70,114
C#5,4617,96,126
G#5,4728,80,112
F5,4813,45,113
G#5,4868,45,110
F5,4913,80,115
C#5,5003,75,125
G#5,5093,70,115
F5,5178,55,116
G#5,5243,42,110
F5,5292,78,118
C#5,5377,88,124
G#5,5468,88,116
F5,5563,63,113
G#5,5626,49,111
F5,5675,71,117
C#5,5746,103,125
G#5,5856,81,117
F5,5940,49,111
G#5,5989,63,109
F5,6052,74,113
C5,6136,99,123
G#5,6235,78,116
F5,6323,53,112
G#5,6379,49,108
F5,6428,78,115
D5,6506,92,122
G#5,6608,78,116
F5,6693,53,116
G#5,6746,63,112
F5,6809,85,115
C5,6901,99,117
G#5,7000,0,116
F5,7078,56,111
G#5,7134,0,111
F5,7187,85,115
D5,7279,92,121
G#5,7374,88,117
F5,7462,56,112
G#5,7518,49,108
F5,7567,53,115
C#5,7623,81,121
G#5,7704,88,117
F5,7799,63,114
G#5,7862,0,109
F5,7897,78,114
D5,7978,99,121
G#5,8077,63,117
F5,8157,46,114
G#5,8217,0,106
F5,8266,81,114
C5,8354,99,125
G#5,8460,92,118
F5,8552,49,109
G#5,8604,56,112
F5,8663,49,119
D5,8712,71,120
D#5,9127,99,121
F5,9226,95,120
D#5,9321,85,118
F5,9413,92,118
C5,9515,99,120
D#5,9614,0,118
F5,9688,88,116
G#5,9776,78,112
C6,9861,103,123
D#6,9967,95,121
F6,10065,78,121
G#6,10150,78,120
F6,10235,88,121
D#6,10323,95,123
C6,10421,88,122
G#5,10516,81,114
C6,10600,408,114
G6,11082,834,117
F6,11926,135,123
G6,12064,120,118
G#6,12191,120,120
E6,12325,113,122
G6,12441,145,121
E6,12632,195,121
F#6,12833,142,119
G6,12979,625,116
A#5,13618,63,106
E6,13691,110,119
F6,13804,78,122
C#6,13896,99,123
A#5,14005,67,109
G5,14079,88,112
F5,14177,71,117
C#5,14255,103,111
D#5,14358,99,119
F5,14467,273,111
G5,14743,85,111
G#5,15321,71,108
F5,15409,78,116
G#5,15497,49,107
F5,15549,56,117
C#5,15605,0,123
G#5,15708,99,116
F5,15810,42,111
G#5,15859,42,105
F5,15904,81,111
C#5,15988,81,121
G#5,16079,81,117
F5,16170,53,113
G#5,16223,56,110
F5,16282,74,115
C#5,16359,103,123
G#5,16465,78,113
F5,16553,63,113
G#5,16616,28,108
F5,16651,85,110
C#5,16739,95,120
G#5,16837,78,116
F5,16918,60,116
G#5,16978,42,107
F5,17020,88,116
C#5,17115,85,123
G#5,17200,81,115
F5,17284,63,115
G#5,17350,49,110
F5,17399,88,113
C#5,17494,85,122
G#5,17582,0,113
F5,17674,60,114
G#5,17734,35,112
F5,17779,85,112
C#5,17864,92,123
G#5,17959,81,114
F5,18040,56,111
G#5,18099,46,113
F5,18152,81,113
C5,18240,110,126
G#5,18350,92,115
F5,18442,42,113
G#5,18491,46,110
F5,18537,85,113
D5,18625,95,125
G#5,18730,74,114
F5,18804,60,116
G#5,18864,0,110
F5,18913,85,112
C5,19001,106,123
G#5,19110,88,113
F5,19201,49,114
G#5,19250,42,110
F5,19292,78,113
D5,19380,92,122
G#5,19479,67,114
F5,19549,74,117
G#5,19623,28,112
F5,19654,88,114
C5,19756,103,124
G#5,19862,85,117
F5,19950,56,112
G#5,20006,46,109
F5,20052,71,114
D5,20137,88,123
G#5,20235,81,116
F5,20316,60,114
G#5,20379,42,112
F5,20421,92,116
C5,20513,92,121
G#5,20605,71,118
F5,20683,42,113
G#5,20728,67,114
F5,20798,60,119
D5,20861,74,120
D#6,21229,301,120
C6,21540,81,117
D#6,21621,110,121
C6,21731,99,116
F6,21901,369,114
D#6,22273,56,121
F6,22332,0,119
D#6,22388,88,121
C6,22476,88,116
C#6,22659,110,120
C#6,22854,113,115
C#6,23038,92,125
C6,23140,103,122
C#6,23253,124,115
A#5,23455,422,107
C#6,24246,99,124
C6,24448,110,120
C#6,24625,131,123
D6,24770,113,121
D#6,24929,749,116
C6,25685,92,118
A#5,25777,103,110
G#5,25887,81,116
F5,25968,106,102
G#5,26198,145,111
F5,26350,63,114
G#5,26523,117,116
F5,26650,81,106
G#5,26816,326,105
